game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
12,1992-05-21,ECF,2,CHI,CLE,L (-26),35,7,22,0.318,0,0,,6,7,0.857,8,3,11,3,3,2,6,20,12.8,
13,1992-05-23,ECF,3,CHI,CLE,W (+9),43,13,27,0.481,1,1,1,9,10,0.9,3,3,6,9,1,0,5,36,26,
14,1992-05-25,ECF,4,CHI,CLE,L (-14),44,15,33,0.455,1,3,0.333,4,5,0.8,2,3,5,6,3,0,5,35,20.8,
15,1992-05-27,ECF,5,CHI,CLE,W (+23),39,13,28,0.464,0,0,,11,12,0.917,0,3,3,5,4,0,0,37,29,
16,1992-05-29,ECF,6,CHI,CLE,W (+5),44,10,27,0.37,0,0,,9,9,1,1,7,8,8,2,0,3,29,20.3,
17,1992-06-03,FIN,1,CHI,POR,W (+33),34,16,27,0.593,6,10,0.6,1,1,1,2,1,3,11,2,0,1,39,36.9,
18,1992-06-05,FIN,2,CHI,POR,L (-11),50,16,32,0.5,0,4,0,7,9,0.778,1,4,5,10,1,0,5,39,25.1,
19,1992-06-07,FIN,3,CHI,POR,W (+10),41,11,22,0.5,0,1,0,4,4,1,2,5,7,4,3,0,5,26,17.1,
20,1992-06-10,FIN,4,CHI,POR,L (-5),44,11,26,0.423,2,6,0.333,8,8,1,0,5,5,6,0,0,5,32,17.3,
21,1992-06-12,FIN,5,CHI,POR,W (+13),42,14,23,0.609,2,4,0.5,16,19,0.842,0,5,5,4,0,1,4,46,33.3,
22,1992-06-14,FIN,6,CHI,POR,W (+4),43,13,24,0.542,2,3,0.667,5,5,1,1,3,4,4,4,1,4,33,25.3,
1,1993-04-30,EC1,1,CHI,ATL,W (+24),29,15,26,0.577,2,4,0.5,3,4,0.75,3,4,7,5,0,0,0,35,28,
2,1993-05-02,EC1,2,CHI,ATL,W (+15),38,10,24,0.417,2,4,0.5,7,8,0.875,0,6,6,4,3,4,0,29,24.2,
3,1993-05-04,EC1,3,CHI,ATL,W (+10),40,16,28,0.571,2,5,0.4,5,5,1,0,7,7,4,2,1,4,39,27.8,
