game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
7,2012-05-15,ECS,2,MIA,IND,L (-3),43,10,22,0.455,0,4,0,8,13,0.615,4,5,9,5,6,0,2,28,26.4,-7
8,2012-05-17,ECS,3,MIA,IND,L (-19),40,10,22,0.455,1,4,0.25,1,3,0.333,1,6,7,3,2,0,4,22,12,-9
9,2012-05-20,ECS,4,MIA,IND,W (+8),44,14,27,0.519,0,0,,12,16,0.75,6,12,18,9,2,2,5,40,37.2,4
10,2012-05-22,ECS,5,MIA,IND,W (+32),38,12,19,0.632,2,4,0.5,4,4,1,3,7,10,8,1,1,4,30,28.6,28
11,2012-05-24,ECS,6,MIA,IND,W (+12),45,12,23,0.522,0,3,0,4,5,0.8,1,5,6,7,3,0,1,28,25,16
12,2012-05-28,ECF,1,MIA,BOS,W (+14),44,13,22,0.591,0,3,0,6,9,0.667,1,12,13,3,1,3,3,32,26.3,17
13,2012-05-30,ECF,2,MIA,BOS,W (+4),48,7,20,0.35,2,6,0.333,18,24,0.75,4,6,10,7,1,1,1,34,29.8,10
14,2012-06-01,ECF,3,MIA,BOS,L (-10),43,16,26,0.615,1,4,0.25,1,5,0.2,0,8,8,5,2,2,3,34,25.3,-6
15,2012-06-03,ECF,4,MIA,BOS,L (-2),48,12,25,0.48,1,3,0.333,4,8,0.5,1,5,6,3,1,1,7,29,11.3,1
16,2012-06-05,ECF,5,MIA,BOS,L (-4),45,11,25,0.44,2,6,0.333,6,8,0.75,3,10,13,2,2,1,3,30,21.9,0
17,2012-06-07,ECF,6,MIA,BOS,W (+19),45,19,26,0.731,2,4,0.5,5,9,0.556,2,13,15,5,0,0,4,45,36.4,22
18,2012-06-09,ECF,7,MIA,BOS,W (+13),48,9,21,0.429,1,5,0.2,12,17,0.706,2,10,12,2,1,1,3,31,22.4,13
19,2012-06-12,FIN,1,MIA,OKC,L (-11),46,11,24,0.458,1,3,0.333,7,9,0.778,1,8,9,4,4,0,4,30,22.3,-11
20,2012-06-14,FIN,2,MIA,OKC,W (+4),42,10,22,0.455,0,2,0,12,12,1,2,6,8,5,1,0,2,32,24.7,6
21,2012-06-17,FIN,3,MIA,OKC,W (+6),44,11,23,0.478,1,4,0.25,6,8,0.75,5,9,14,3,0,0,4,29,20.4,8
22,2012-06-19,FIN,4,MIA,OKC,W (+6),44,10,20,0.5,1,4,0.25,5,8,0.625,3,6,9,12,2,0,3,26,25.3,8
23,2012-06-21,FIN,5,MIA,OKC,W (+15),44,9,19,0.474,0,3,0,8,9,0.889,4,7,11,13,1,2,6,26,25.5,20
1,2013-04-21,EC1,1,MIA,MIL,W (+23),35,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,27,25.3,14
2,2013-04-23,EC1,2,MIA,MIL,W (+12),39,6,14,0.429,0,3,0,7,8,0.875,1,7,8,6,1,0,4,19,14.4,13
3,2013-04-25,EC1,3,MIA,MIL,W (+13),33,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,22,14.9,14
4,2013-04-28,EC1,4,MIA,MIL,W (+11),41,13,20,0.65,0,2,0,4,7,0.571,2,6,8,7,3,1,5,30,25.6,16
5,2013-05-06,ECS,1,MIA,CHI,L (-7),44,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,24,22.5,-15
6,2013-05-08,ECS,2,MIA,CHI,W (+37),32,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,19,19.2,25
7,2013-05-10,ECS,3,MIA,CHI,W (+10),44,6,17,0.353,2,4,0.5,11,11,1,0,8,8,7,2,0,1,25,23.8,7
8,2013-05-13,ECS,4,MIA,CHI,W (+23),43,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,27,20.9,27
9,2013-05-15,ECS,5,MIA,CHI,W (+3),44,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,23,20.5,4
